Sample_number,ID,Sample_ID,Class,SRA_accession
Sample_0475,18NS628,Garfield Lake Old,Natural stand,SAMN22588882
Sample_0476,18NS632,Garfield Lake Old,Natural stand,SAMN22588883
Sample_0477,18NS640,Garfield Lake Old,Natural stand,SAMN22588884
Sample_0478,18NS648,Garfield Lake Old,Natural stand,SAMN22588885
Sample_0485,18NS613,Garfield Lake Old,Natural stand,SAMN22588886
Sample_0486,18NS621,Garfield Lake Old,Natural stand,SAMN22588887
Sample_0487,18NS629,Garfield Lake Old,Natural stand,SAMN22588888
Sample_0488,18NS633,Garfield Lake Old,Natural stand,SAMN22588889
Sample_0489,18NS641,Garfield Lake Old,Natural stand,SAMN22588890
Sample_0490,18NS649,Garfield Lake Old,Natural stand,SAMN22588891
Sample_0497,18NS614,Garfield Lake Old,Natural stand,SAMN22588892
Sample_0498,18NS622,Garfield Lake Old,Natural stand,SAMN22588893
Sample_0499,18NS630,Garfield Lake Old,Natural stand,SAMN22588894
Sample_0500,18NS634,Garfield Lake Old,Natural stand,SAMN22588895
Sample_0501,18NS642,Garfield Lake Old,Natural stand,SAMN22588896
Sample_0502,18NS650,Garfield Lake Old,Natural stand,SAMN22588897
Sample_0509,18NS615,Garfield Lake Old,Natural stand,SAMN22588898
Sample_0510,18NS623,Garfield Lake Old,Natural stand,SAMN22588899
Sample_0511,18NS635,Garfield Lake Old,Natural stand,SAMN22588900
Sample_0512,18NS643,Garfield Lake Old,Natural stand,SAMN22588901
Sample_0520,18NS616,Garfield Lake Old,Natural stand,SAMN22588902
Sample_0521,18NS624,Garfield Lake Old,Natural stand,SAMN22588903
Sample_0522,18NS636,Garfield Lake Old,Natural stand,SAMN22588904
Sample_0523,18NS644,Garfield Lake Old,Natural stand,SAMN22588905
Sample_0531,18NS617,Garfield Lake Old,Natural stand,SAMN22588906
Sample_0532,18NS625,Garfield Lake Old,Natural stand,SAMN22588907
Sample_0533,18NS637,Garfield Lake Old,Natural stand,SAMN22588908
Sample_0534,18NS645,Garfield Lake Old,Natural stand,SAMN22588909
Sample_0541,18NS618,Garfield Lake Old,Natural stand,SAMN22588910
Sample_0542,18NS626,Garfield Lake Old,Natural stand,SAMN22588911
Sample_0543,18NS638,Garfield Lake Old,Natural stand,SAMN22588912
Sample_0544,18NS646,Garfield Lake Old,Natural stand,SAMN22588913
Sample_0373,18NS405,Shell Lake,Natural stand,SAMN22589215
Sample_0374,18NS413,Shell Lake,Natural stand,SAMN22589216
Sample_0375,18NS421,Shell Lake,Natural stand,SAMN22589217
Sample_0376,18NS429,Shell Lake,Natural stand,SAMN22589218
Sample_0377,18NS437,Shell Lake,Natural stand,SAMN22589219
Sample_0378,18NS445,Shell Lake,Natural stand,SAMN22589220
Sample_0384,18NS406,Shell Lake,Natural stand,SAMN22589221
Sample_0385,18NS414,Shell Lake,Natural stand,SAMN22589222
Sample_0386,18NS422,Shell Lake,Natural stand,SAMN22589223
Sample_0387,18NS430,Shell Lake,Natural stand,SAMN22589224
Sample_0388,18NS438,Shell Lake,Natural stand,SAMN22589225
Sample_0389,18NS446,Shell Lake,Natural stand,SAMN22589226
Sample_0395,18NS407,Shell Lake,Natural stand,SAMN22589227
Sample_0396,18NS415,Shell Lake,Natural stand,SAMN22589228
Sample_0397,18NS423,Shell Lake,Natural stand,SAMN22589229
Sample_0398,18NS431,Shell Lake,Natural stand,SAMN22589230
Sample_0399,18NS439,Shell Lake,Natural stand,SAMN22589231
Sample_0400,18NS447,Shell Lake,Natural stand,SAMN22589232
Sample_0406,18NS408,Shell Lake,Natural stand,SAMN22589233
Sample_0407,18NS416,Shell Lake,Natural stand,SAMN22589234
Sample_0408,18NS424,Shell Lake,Natural stand,SAMN22589235
Sample_0409,18NS432,Shell Lake,Natural stand,SAMN22589236
Sample_0410,18NS440,Shell Lake,Natural stand,SAMN22589237
Sample_0411,18NS448,Shell Lake,Natural stand,SAMN22589238
Sample_0417,18NS401,Shell Lake,Natural stand,SAMN22589239
Sample_0418,18NS409,Shell Lake,Natural stand,SAMN22589240
Sample_0419,18NS417,Shell Lake,Natural stand,SAMN22589241
Sample_0420,18NS425,Shell Lake,Natural stand,SAMN22589242
Sample_0421,18NS433,Shell Lake,Natural stand,SAMN22589243
Sample_0422,18NS441,Shell Lake,Natural stand,SAMN22589244
Sample_0423,18NS449,Shell Lake,Natural stand,SAMN22589245
Sample_0429,18NS402,Shell Lake,Natural stand,SAMN22589246
Sample_0430,18NS410,Shell Lake,Natural stand,SAMN22589247
Sample_0431,18NS418,Shell Lake,Natural stand,SAMN22589248
Sample_0432,18NS426,Shell Lake,Natural stand,SAMN22589249
Sample_0433,18NS434,Shell Lake,Natural stand,SAMN22589250
Sample_0434,18NS442,Shell Lake,Natural stand,SAMN22589251
Sample_0435,18NS450,Shell Lake,Natural stand,SAMN22589252
Sample_0441,18NS403,Shell Lake,Natural stand,SAMN22589253
Sample_0442,18NS411,Shell Lake,Natural stand,SAMN22589254
Sample_0443,18NS419,Shell Lake,Natural stand,SAMN22589255
Sample_0444,18NS427,Shell Lake,Natural stand,SAMN22589256
Sample_0445,18NS435,Shell Lake,Natural stand,SAMN22589257
Sample_0446,18NS443,Shell Lake,Natural stand,SAMN22589258
Sample_0453,18NS404,Shell Lake,Natural stand,SAMN22589259
Sample_0454,18NS412,Shell Lake,Natural stand,SAMN22589260
Sample_0455,18NS420,Shell Lake,Natural stand,SAMN22589261
Sample_0456,18NS428,Shell Lake,Natural stand,SAMN22589262
Sample_0457,18NS436,Shell Lake,Natural stand,SAMN22589263
Sample_0458,18NS444,Shell Lake,Natural stand,SAMN22589264
Sample_0467,18NS655,Shell Lake Old,Natural stand,SAMN22589265
Sample_0468,18NS663,Shell Lake Old,Natural stand,SAMN22589266
Sample_0469,18NS671,Shell Lake Old,Natural stand,SAMN22589267
Sample_0470,18NS679,Shell Lake Old,Natural stand,SAMN22589268
Sample_0471,18NS687,Shell Lake Old,Natural stand,SAMN22589269
Sample_0472,18NS695,Shell Lake Old,Natural stand,SAMN22589270
Sample_0479,18NS656,Shell Lake Old,Natural stand,SAMN22589271
Sample_0480,18NS664,Shell Lake Old,Natural stand,SAMN22589272
Sample_0481,18NS672,Shell Lake Old,Natural stand,SAMN22589273
Sample_0482,18NS680,Shell Lake Old,Natural stand,SAMN22589274
Sample_0483,18NS688,Shell Lake Old,Natural stand,SAMN22589275
Sample_0484,18NS696,Shell Lake Old,Natural stand,SAMN22589276
Sample_0491,18NS657,Shell Lake Old,Natural stand,SAMN22589277
Sample_0492,18NS665,Shell Lake Old,Natural stand,SAMN22589278
Sample_0493,18NS673,Shell Lake Old,Natural stand,SAMN22589279
Sample_0494,18NS681,Shell Lake Old,Natural stand,SAMN22589280
Sample_0495,18NS689,Shell Lake Old,Natural stand,SAMN22589281
Sample_0496,18NS697,Shell Lake Old,Natural stand,SAMN22589282
Sample_0503,18NS658,Shell Lake Old,Natural stand,SAMN22589283
Sample_0504,18NS666,Shell Lake Old,Natural stand,SAMN22589284
Sample_0505,18NS674,Shell Lake Old,Natural stand,SAMN22589285
Sample_0506,18NS682,Shell Lake Old,Natural stand,SAMN22589286
Sample_0507,18NS690,Shell Lake Old,Natural stand,SAMN22589287
Sample_0508,18NS698,Shell Lake Old,Natural stand,SAMN22589288
Sample_0513,18NS651,Shell Lake Old,Natural stand,SAMN22589289
Sample_0514,18NS659,Shell Lake Old,Natural stand,SAMN22589290
Sample_0515,18NS667,Shell Lake Old,Natural stand,SAMN22589291
Sample_0516,18NS675,Shell Lake Old,Natural stand,SAMN22589292
Sample_0517,18NS683,Shell Lake Old,Natural stand,SAMN22589293
Sample_0518,18NS691,Shell Lake Old,Natural stand,SAMN22589294
Sample_0519,18NS699,Shell Lake Old,Natural stand,SAMN22589295
Sample_0524,18NS652,Shell Lake Old,Natural stand,SAMN22589296
Sample_0525,18NS660,Shell Lake Old,Natural stand,SAMN22589297
Sample_0526,18NS668,Shell Lake Old,Natural stand,SAMN22589298
Sample_0527,18NS676,Shell Lake Old,Natural stand,SAMN22589299
Sample_0528,18NS684,Shell Lake Old,Natural stand,SAMN22589300
Sample_0529,18NS692,Shell Lake Old,Natural stand,SAMN22589301
Sample_0530,18NS700,Shell Lake Old,Natural stand,SAMN22589302
Sample_0535,18NS653,Shell Lake Old,Natural stand,SAMN22589303
Sample_0536,18NS661,Shell Lake Old,Natural stand,SAMN22589304
Sample_0537,18NS669,Shell Lake Old,Natural stand,SAMN22589305
Sample_0538,18NS677,Shell Lake Old,Natural stand,SAMN22589306
Sample_0539,18NS685,Shell Lake Old,Natural stand,SAMN22589307
Sample_0540,18NS693,Shell Lake Old,Natural stand,SAMN22589308
Sample_0545,18NS654,Shell Lake Old,Natural stand,SAMN22589309
Sample_0546,18NS662,Shell Lake Old,Natural stand,SAMN22589310
Sample_0547,18NS670,Shell Lake Old,Natural stand,SAMN22589311
Sample_0548,18NS678,Shell Lake Old,Natural stand,SAMN22589312
Sample_0549,18NS686,Shell Lake Old,Natural stand,SAMN22589313
Sample_0550,18NS694,Shell Lake Old,Natural stand,SAMN22589314
